participation_act,region
1.0,South
0.38,West
0.73,West
1.0,South
0.23,West
0.27,West
0.22,North
0.13,South
0.32,South
0.54,South
0.49,South
0.8,West
0.31,West
0.35,Midwest
0.29,Midwest
0.66,Midwest
0.72,Midwest
1.0,South
1.0,South
0.06,Northeast
0.28,South
0.21,Northeast
0.19,Midwest
0.95,Midwest
1.0,South
0.82,Midwest
1.0,West
1.0,Midwest
1.0,West
0.14,Northeast
0.25,Northeast
0.63,West
0.22,Northeast
1.0,South
0.96,Midwest
1.0,Midwest
1.0,South
0.42,West
0.17,Northeast
0.12,Northeast
0.78,South
0.75,South
1.0,South
0.39,South
1.0,West
0.2,Northeast
0.21,South
0.24,West
0.49,South
1.0,Midwest
1.0,West
