participation_sat,region
0.07,South
0.41,West
0.31,West
0.06,South
0.63,West
1.0,West
1.0,North
1.0,South
0.94,South
1.0,South
0.71,South
0.54,West
1.0,West
1.0,Midwest
0.66,Midwest
0.03,Midwest
0.04,Midwest
0.04,South
0.05,South
0.99,Northeast
0.82,South
0.81,Northeast
1.0,Midwest
0.04,Midwest
0.03,South
0.04,Midwest
0.09,West
0.03,Midwest
0.2,West
0.95,Northeast
0.82,Northeast
0.18,West
0.79,Northeast
0.51,South
0.02,Midwest
0.19,Midwest
0.22,South
0.51,West
0.7,Northeast
1.0,Northeast
0.68,South
0.03,South
0.07,South
0.68,South
0.04,West
0.66,Northeast
0.68,South
0.7,West
0.99,South
0.03,Midwest
0.03,West
